Species,CommonName,Description
Glossogobius sentaniensis,,"Another goby restricted to Lake Sentani, Papua. It is benthic, and its limited range makes it vulnerable."
Glyptothorax madraspatanus,,"A sisorid catfish native to southern India, found in rocky streams. It uses adhesive organs to cling to substrates in fast currents."
Glyptothorax punjabensis,,A freshwater catfish distributed in rivers of Pakistan and India. It is adapted to torrential waters but threatened by pollution.
Gnathopogon caerulescens,,"A cyprinid endemic to Lake Biwa, Japan. It forms large schools and is an important forage fish but has declined due to habitat changes."
Gogo ornatus,,A Malagasy catfish restricted to forest rivers. It is vulnerable due to logging and wetland degradation.
Gymnostomus horai,,"A cyprinid described from India, inhabiting upland rivers. Little is known about its biology, and its status is uncertain."
Hemibagrus lacustrinus,,"A bagrid catfish from Sumatra, Indonesia, restricted to Lake Singkarak. It is an important food fish but threatened by overfishing."
Horabagrus nigricollaris,,"A colorful catfish from the Western Ghats of India, with yellow body and black collar-like marking. Endangered due to habitat degradation."
Horalabiosa joshuai,,"A small cyprinid endemic to Kerala, India. It lives in hill streams and is threatened by land-use changes."
Hypselobarbus curmuca,Curmuca barb,"A large cyprinid from the Western Ghats, India. Once a major food fish, it is now endangered due to overexploitation and dams."
Hypselobarbus dubius,Nilgiris barb,"Endemic to the Western Ghats, this cyprinid lives in fast-flowing rivers. Populations are declining due to habitat fragmentation."
Hypselobarbus periyarensis,,"A critically endangered cyprinid confined to the Periyar Tiger Reserve, Kerala. It inhabits clear, rocky streams."
Ischikauia steenackeri,,"A cyprinid fish endemic to East Asia, found in lakes and rivers of China. It is adapted to slow-flowing habitats but populations are declining due to water pollution and overfishing."
Lepidopygopsis typus,Peninsular hilltrout,"Known as the Chalakudi minnow, it is critically endangered and restricted to the Chalakudi River in Kerala, India. It prefers fast-flowing, rocky hill streams and faces threats from damming and sand mining."
Lepthoplosternum tordilho,,"A small armored catfish from Brazil, inhabiting shallow, vegetated waters. It uses its modified intestine to breathe air, allowing survival in low-oxygen conditions."
Leuciscus lindbergi,,"A cyprinid from Central Asia, found in rivers of Uzbekistan and Turkmenistan. It inhabits clear streams and is poorly studied, though local populations are vulnerable to water abstraction."
Limia yaguajali,Yaguajal limia,"A livebearing poeciliid endemic to the Yaguajal River in the Dominican Republic. It thrives in slow-flowing, vegetated streams and feeds on algae and detritus."
Liobagrus kingi,,"A torrent catfish endemic to Sichuan, China. It inhabits rocky, fast-flowing mountain streams and is threatened by dam construction."
Marcusenius caudisquamatus,,An African elephantfish from the Congo River basin. It uses weak electric signals for communication and navigation in turbid waters.
Melanotaenia fasinensis,,"A rainbowfish restricted to the Fasin River in Papua New Guinea. Males are brightly colored with red and blue stripes, making them attractive aquarium fish but vulnerable in the wild."
Melanotaenia utcheensis,Utchee rainbowfish,"Endemic to Utchee Creek in Queensland, Australia. This rainbowfish inhabits clear rainforest streams and is vulnerable due to its extremely narrow range."
Moxostoma robustum,Smallfin redhorse,"The robust redhorse, a sucker native to rivers of the southeastern USA. Once thought extinct, it was rediscovered in the 1990s and is now the focus of conservation programs."
Mugilogobius adeia,,"A goby endemic to Lake Matano, Sulawesi. It inhabits rocky shores and is highly specialized, threatened by introduced predators."
Nemacheilus pulchellus,,"A loach native to Southeast Asia, found in small streams with sandy substrates. It is sensitive to siltation caused by deforestation."
Neochanna cleaveri,Tasmanian mudfish,"The Tasmanian mudfish, found in southern Australia and Tasmania. It is amphibious, able to aestivate in damp soil during dry periods, but vulnerable to wetland loss."
Neosiluroides cooperensis,Cooper creek catfish,"A large, benthic catfish endemic to the Cooper Creek system, Australia. It lives in turbid channels and is considered vulnerable due to water extraction."
Nomorhamphus celebensis,Poso halfbeak,"A halfbeak from Sulawesi, Indonesia. It inhabits clear streams and lakes, feeding at the surface on insects and algae."
Nothobranchius capriviensis,Caprivi Nothobranchius,"A seasonal killifish from the Caprivi Strip in Namibia. It hatches during seasonal rains and has a short lifespan, completing its cycle before pools dry."
Nothobranchius interruptus,Kikambala nothobranch,"A killifish native to East Africa, adapted to temporary pools. Its eggs can survive dry seasons in diapause, ensuring species persistence."
Notropis boucardi,Balsas shiner,"The southern shiner, native to Mexico’s rivers. It is threatened by water pollution and invasive species."
Notropis grandis,Zacapu shiner,"A North American minnow, inhabiting clear rivers with gravel bottoms. Populations are declining due to habitat alteration."
Oligosarcus schindleri,,"A predatory characin from South America. It preys on smaller fish and invertebrates, inhabiting streams and rivers."
Ompok binotatus,,"A sheatfish distributed across Southeast Asia. It inhabits slow-flowing rivers and floodplains, valued as a food fish."
Opsarius canarensis,,"A cyprinid endemic to streams of the Western Ghats, India. It prefers clear, fast-flowing waters and is considered vulnerable."
Orestias gymnota,,"A pupfish from Lake Titicaca basin, adapted to high-altitude cold waters. It is important in local fisheries but threatened by introduced trout."
Oryzias asinua,,"A ricefish endemic to Sulawesi, Indonesia. It inhabits freshwater streams and is known for its resilience to environmental changes."
Oryzias luzonensis,,"The Luzon ricefish, endemic to the Philippines. It inhabits rivers and lakes but is vulnerable due to habitat destruction."
Oryzias woworae,,"The Daisy’s ricefish, from Sulawesi, Indonesia. It is brightly colored and highly prized in aquaria, though wild populations are threatened."
Osteochilus longidorsalis,,"A cyprinid endemic to Kerala, India, inhabiting streams of the Western Ghats. It is vulnerable due to deforestation and overfishing."
Oxyeleotris stagnicola,Swamp gudgeon,"A gudgeon restricted to Lake Kutubu, Papua New Guinea. It is benthic, living in muddy lake bottoms, and highly localized."
Pachypanchax varatraza,,"A killifish from Madagascar, found in forest streams. It is endangered due to logging and wetland loss."
Pangio robiginosa,,"A loach species from Southeast Asia, inhabiting forest streams and peat swamps. Its slender, eel-like body allows it to hide among leaf litter."
Parachondrostoma turiense,,"A cyprinid endemic to Spain, found in the Turia River. It is endangered due to water abstraction and habitat fragmentation."
Paretroplus loisellei,,"A large cichlid from Madagascar, restricted to the Betsiboka River basin. It is endangered by habitat loss and overfishing."
Paretroplus maromandia,,"Endemic to northwestern Madagascar, this cichlid inhabits slow rivers and lakes. It is critically endangered with declining populations."
Paretroplus nourissati,,"Another Malagasy cichlid with brilliant coloration, restricted to the Sofia River basin. It is endangered due to deforestation and overfishing."
Paretroplus tsimoly,,A large-bodied cichlid from northwestern Madagascar. It inhabits rivers and floodplains and is considered endangered.
Pelasgus prespensis,Prespa minnow,"The Prespa minnow, endemic to Lake Prespa in the Balkans. It is endangered due to pollution and water extraction."
Pethia reval,,"A barb endemic to the Western Ghats, India. It inhabits hill streams and is vulnerable due to limited range."
Pseudobarbus skeltoni,Giant redfin,"The Skelton’s redfin, endemic to South Africa. Critically endangered, it survives only in a few streams due to invasive species."
Pseudobarbus verloreni,Verlorenvlei redfin,"A redfin endemic to the Verlorenvlei River, South Africa. It is critically endangered with only remnant populations remaining."
Pseudomugil ivantsoffi,,"A blue-eye fish from Papua New Guinea, named after ichthyologist Ivantsoff. Males display striking fin colors, making it popular in aquaria."
Pseudomugil luminatus,Red neon blue-eye,"A recently described rainbowfish from Papua. Known for its vibrant red fins, it is found in small forest streams."
Pseudomystus myersi,,"A bagrid catfish from Southeast Asia, inhabiting forest rivers. It is nocturnal and predatory, feeding on insects and small fish."
Pseudophoxinus drusensis,,A critically endangered cyprinid from Syria and Israel. It inhabits small springs and streams and is threatened by water extraction.
Ptychochromis inornatus,,"A Malagasy cichlid from forest rivers. Unlike its colorful relatives, it has drab coloration and is threatened by habitat destruction."
Ptychochromis loisellei,,"A rare cichlid from Madagascar, named in honor of Paul Loiselle. It is endangered due to limited range and habitat loss."
Ptychochromoides vondrozo,,A critically endangered Malagasy cichlid from southeastern rivers. It inhabits clear streams with rocky bottoms.
Puntius fraseri,Dharna barb,"A barb native to Kerala, India. It lives in clear hill streams and is threatened by deforestation and habitat modification."
Rasbora maninjau,,"A cyprinid from Lake Maninjau, Sumatra. It forms large schools in open waters and is locally fished for food."
Rasboroides pallidus,,"Endemic to Sri Lanka, this small cyprinid inhabits shaded forest streams. It is endangered by deforestation and overcollection for aquaria."
Rheocles vatosoa,,A rainbowfish endemic to Madagascar’s rivers. It is critically endangered due to habitat loss and invasive species.
Rivulus berovidesi,,"A killifish from Cuba, inhabiting streams and swamps. It is poorly known and considered vulnerable."
Sahyadria chalakkudiensis,,"The Chalakudi barb, native to Kerala, India. Known for its striking coloration, it inhabits rocky streams and is threatened by habitat loss."
Salmo labecula,Seyhan trout,"The Tigris trout, endemic to Iraq. It inhabits cool mountain streams and is threatened by water extraction."
Salmo opimus,Opimus trout,"A trout from Lake Sevan, Armenia. It is endangered due to overfishing and habitat degradation."
Salmo peristericus,,"The Prespa trout, endemic to Lake Prespa in the Balkans. Populations are endangered by water pollution and overfishing."
Salvelinus willoughbii,Char,A char native to northern England lakes. It is endangered by eutrophication and competition with introduced species.
Sarcocheilichthys biwaensis,,"A cyprinid endemic to Lake Biwa, Japan. It inhabits shallow waters and spawns in mussel shells, but populations are in decline."
Sauvagella robusta,Amboaboa round herring,A silverside from Madagascar rivers. It forms schools in open waters and is vulnerable to overfishing and wetland loss.
Schistura afasciata,,"A loach from Southeast Asia, living in rocky hill streams. It is vulnerable due to habitat disturbance from deforestation."
Sinocyclocheilus tingi,,"A cave-dwelling cyprinid from China. It exhibits reduced eyes and pigmentation, and is threatened by groundwater extraction."
Skiffia bilineata,Twoline skiffia,"A splitfin endemic to Mexico’s Lerma River basin. Once widespread, it is now critically endangered due to pollution and exotics."
Skiffia multipunctata,Spotted skiffia,Another endangered goodeid from Mexico. It inhabits springs and rivers but has declined severely due to invasive fish.
Squalius carinus,Chocolate chub,A cyprinid endemic to the Iberian Peninsula. It inhabits rivers with moderate flow and is threatened by habitat degradation.
Squalius kosswigi,,"A freshwater fish from Turkey, restricted to a few rivers. It is endangered due to water abstraction and pollution."
Squalius microlepis,,"The small-scale chub, found in the Balkans. It inhabits lakes and rivers and is vulnerable to overfishing."
Squalius torgalensis,,A critically endangered cyprinid from Portugal. It has one of the smallest ranges of any European freshwater fish.
Steindachneridion parahybae,,"A large catfish endemic to Brazil’s Paraíba do Sul River. Once common, it is now critically endangered due to damming and overfishing."
Telestes karsticus,,A freshwater fish restricted to Croatia’s karst rivers. It is critically endangered due to habitat fragmentation.
Thryssa rastrosa,Fly river thryssa,"A freshwater anchovy endemic to the Philippines, described from Lake Bato. It is rare and highly threatened."
Tlaloc hildebrandi,Chiapas killifish,"The Chiapas killifish, endemic to Mexico. It is critically endangered due to pollution and habitat fragmentation."
Tlaloc portillorum,,"Another Mexican killifish, restricted to small springs. It is threatened by aquifer depletion."
Tor malabaricus,Malabar mahseer,"The Malabar mahseer, a large cyprinid from southern India. It is prized as a game fish but endangered due to overfishing and damming."
Travancoria elongata,,"A hillstream loach endemic to Kerala, India. It clings to rocks in torrents and is threatened by sand mining."
Travancoria jonesi,Travancore loach,"Another hillstream loach from Kerala, highly localized and endangered by habitat destruction."
Triplophysa coniptera,,"A stone loach from Central Asia. It inhabits cold, fast-flowing rivers and is poorly known."
Triplophysa paradoxa,,"A loach from China, adapted to mountain streams. It is threatened by hydropower development."
Vieja hartwegi,Tailbar cichlid,"A cichlid from southern Mexico and Guatemala, known for its brilliant red and green coloration. It inhabits rivers with rocky substrates and is vulnerable to habitat loss."
Xenotoca melanosoma,Black splitfin,"A critically endangered goodeid endemic to Mexico, restricted to the Ameca basin. It inhabits clear streams and is threatened by pollution and invasive species."
Yuriria alta,Jalisco chub,"A cyprinid from central Mexico, living in rivers and reservoirs of the Lerma–Chapala basin. Populations are declining due to habitat alteration."
Yuriria amatlana,Amatlan chub,"Endemic to the Amatlán River, Mexico. It is rare and considered vulnerable due to its small range and water pollution."
Yuriria chapalae,Chapala chub,"A cyprinid native to Lake Chapala, Mexico. It feeds on invertebrates and detritus, but populations are threatened by water extraction."
Oxynoemacheilus seyhanensis,Samanti loach,A stone loach endemic to Turkey’s Seyhan River basin. It inhabits fast-flowing waters and is endangered by damming.
Rasbora tawarensis,,Endemic to Lake Tawar in Sumatra. It forms schools in open water and is threatened by overfishing and habitat degradation.
Schizothorax grahami,,"A large cyprinid from Lake Dianchi, China. Once abundant, it is now endangered due to pollution and introduced species."
Xyrauchen texanus,Razorback sucker,"The razorback sucker, endemic to the Colorado River basin. Critically endangered due to dams, predation, and habitat loss."
Acipenser dabryanus,Yangtze sturgeon,"The Yangtze sturgeon, endemic to China. Critically endangered due to damming and overfishing."
Salmo ezenami,,"The Sevan trout, endemic to Lake Sevan, Armenia. Overfishing and invasive species have caused severe declines."
Acipenser naccarii,Adriatic sturgeon,"The Adriatic sturgeon, found in the Po River basin, Italy. It is critically endangered, with reintroduction programs underway."
Parahucho perryi,Japanese huchen,"The Sakhalin taimen, native to rivers of northeast Asia. One of the largest salmonids, it is critically endangered."
Acipenser sinensis,Chinese sturgeon,"The Chinese sturgeon, a giant migratory fish of the Yangtze River. Critically endangered due to dams and habitat fragmentation."
Huso dauricus,Kaluga,"The Kaluga sturgeon of the Amur River. Among the largest freshwater fishes, critically endangered due to overfishing for caviar."
Adrianichthys kruyti,Duckbilled buntingi,"The Duck-billed buntingi, endemic to Lake Poso, Sulawesi. Now possibly extinct due to invasive species."
Allodontichthys polylepis,Finescale splitfin,"A goodeid endemic to the Ameca River basin, Mexico. It is critically endangered due to habitat loss."
Allotoca diazi,Patzcuaro allotoca,"The Zacapu allotoca, endemic to Lake Zacapu, Mexico. Endangered by introduced species and pollution."
Allotoca maculata,Blackspot allotoca,"A Mexican goodeid with spotted patterning, restricted to limited streams. It is critically endangered."
Allotoca regalis,Royal Splitfin,"The regal allotoca, known from a few sites in Jalisco, Mexico. It is considered critically endangered."
Characodon lateralis,Rainbow characodon,"The rainbow characodon, a colorful Mexican goodeid. Critically endangered due to water pollution and introduced species."
Haplochromis aelocephalus,,"A cichlid species from Lake Victoria, East Africa. It inhabits rocky shorelines and feeds on benthic invertebrates. Overfishing and the introduction of Nile perch caused severe population declines."
Haplochromis apogonoides,,"Endemic to Lake Victoria, this haplochromine cichlid occupies shallow rocky areas. It feeds on algae and aquatic invertebrates. It is highly threatened due to invasive species and habitat degradation."
Haplochromis argenteus,,"A silvery cichlid from Lake Victoria, once abundant. It feeds mainly on plankton and small invertebrates. Its population collapsed after the Nile perch invasion."
Haplochromis brownae,,"Found in Lake Victoria, it is adapted to benthic habitats. This species is omnivorous, consuming algae, insects, and detritus. It is now rare due to predation and competition from introduced species."
Haplochromis cassius,,"Native to Lake Victoria, inhabiting nearshore rocky habitats. It feeds primarily on insect larvae. Its population status is considered vulnerable."
Haplochromis cinctus,,"A cichlid from Lake Victoria, characterized by banded coloration. It feeds on algae and aquatic insects. Threatened by environmental changes and invasive fish."
Haplochromis cnester,,"Endemic to Lake Victoria, preferring shallow rocky habitats. It has an insectivorous diet. Its population has declined due to predation by Nile perch."
Haplochromis crassilabris,,A cichlid with thick lips adapted to feeding in crevices. It inhabits rocky zones of Lake Victoria. Populations have been severely reduced.
Haplochromis crocopeplus,,"Native to Lake Victoria, this species inhabits rocky and sandy substrates. It feeds on invertebrates and detritus. It is highly threatened by invasive Nile perch."
Haplochromis dentex,,"A predatory cichlid from Lake Victoria, feeding on smaller fishes. It is adapted to deeper habitats. Overfishing and Nile perch predation decimated its population."
Haplochromis dichrourus,,A Lake Victoria cichlid known for its dual-colored fins. It feeds on insect larvae and small invertebrates. It is rare due to habitat loss and invasive species.
Haplochromis flavipinnis,,"Endemic to Lake Victoria, recognized by its yellow fins. It inhabits shallow rocky shores, feeding on insects and algae. Its populations have been heavily impacted by Nile perch."
Haplochromis granti,,"A benthic cichlid from Lake Victoria, living near rocky outcrops. It feeds on small aquatic invertebrates. Now rare due to introduced predators."
Haplochromis heusinkveldi,,"Found in Lake Victoria, associated with shallow rocky habitats. It consumes algae and invertebrates. Its population is in decline."
Haplochromis hiatus,,"Endemic to Lake Victoria, dwelling in sandy and rocky environments. It is primarily insectivorous. Population declines linked to ecological shifts in the lake."
Haplochromis iris,,A visually striking cichlid with iridescent colors from Lake Victoria. It feeds on zooplankton and benthic invertebrates. It has been severely reduced by invasive fish.
Haplochromis ishmaeli,,A Lake Victoria haplochromine cichlid once common in rocky habitats. It is omnivorous and now considered endangered. Its decline is due to competition and predation.
Haplochromis longirostris,,"Named for its elongated snout, adapted to picking invertebrates from crevices. Found in Lake Victoria rocky zones. Populations have dramatically fallen."
Haplochromis macrognathus,,"A Lake Victoria species with a pronounced jaw, feeding on insects and mollusks. It thrives in rocky habitats. Now rare in the wild."
Haplochromis martini,,"Endemic to Lake Victoria, it prefers rocky lake margins. It feeds on algae and aquatic insects. Its populations have been decimated by invasive species."
Haplochromis michaeli,,"A cichlid from Lake Victoria, often inhabiting sandy bottoms. It feeds on zooplankton and benthic prey. Its population is declining."
Haplochromis microdon,,"A small-toothed cichlid from Lake Victoria, adapted for insect feeding. It inhabits shallow rocky areas. Its numbers have fallen due to Nile perch predation."
Haplochromis mylergates,,"Endemic to Lake Victoria, this species lives near rocky substrates. It feeds on algae and benthic organisms. Highly threatened by invasive species."
Haplochromis nanoserranus,,A diminutive haplochromine cichlid from Lake Victoria. It feeds on insect larvae and algae. Its conservation status is poor.
Haplochromis obesus,,A robust-bodied cichlid endemic to Lake Victoria. It consumes a mix of invertebrates and detritus. Populations have been decimated.
Haplochromis parvidens,,"Endemic to Lake Victoria, feeding primarily on zooplankton. It prefers open water habitats. Now considered rare due to ecological changes."
Haplochromis percoides,,A perch-like cichlid from Lake Victoria. It feeds on insects and small fish. Nile perch introduction led to its drastic decline.
Haplochromis perrieri,,"Native to Lake Victoria, often found in shallow vegetated zones. It is omnivorous, feeding on algae and invertebrates. Its population is threatened."
Haplochromis plutonius,,"A predatory cichlid of Lake Victoria, specialized in feeding on smaller fish. Its populations have collapsed after Nile perch introduction."
Haplochromis ptistes,,"A cichlid endemic to Lake Victoria, inhabiting rocky nearshore zones. It feeds on insect larvae and algae. Populations have dwindled."
Haplochromis sulphureus,,"Known for its bright yellow coloration, this Lake Victoria cichlid inhabits shallow rocky areas. It feeds on invertebrates and algae. Highly impacted by invasive species."
Haplochromis teegelaari,,A cichlid restricted to Lake Victoria rocky zones. It is insectivorous and benthic feeding. Its population is vulnerable.
Haplochromis teunisrasi,,"Endemic to Lake Victoria, inhabiting rocky environments. It feeds on insects and benthic organisms. It is considered endangered."
Haplochromis theliodon,,A Lake Victoria cichlid specialized for algae scraping. It inhabits shallow rocky habitats. Its survival is threatened by competition and predation.
Haplochromis victorianus,,A native cichlid of Lake Victoria. It feeds on plankton and insect larvae. It has declined due to Nile perch introduction.
Haplochromis xenostoma,,"Endemic to Lake Victoria, distinguished by its unique jaw structure. It feeds on benthic invertebrates. Its conservation status is critical."
Lucifuga simile,,"A cavefish from Cuba, adapted to dark subterranean waters. It feeds on small crustaceans and detritus. Its populations are highly localized and vulnerable."
Neoarius taylori,Taylor's catfish,"A sea catfish from northern Australia and Papua New Guinea. It inhabits estuaries and coastal rivers, feeding on crustaceans and small fish. It is important in local fisheries."
Oreochromis chungruruensis,Kiungululu tilapia,A tilapia native to Lake Chungruru in Tanzania. It feeds on phytoplankton and algae. It is considered endangered due to habitat changes.
Oreochromis jipe,Jipe tilapia,"A tilapia from Lake Jipe, Kenya–Tanzania border. It feeds on algae and plankton. Populations are declining due to overfishing and water extraction."
Oryzias sarasinorum,Sarasins minnow,"A ricefish endemic to Sulawesi, Indonesia. It inhabits lakes and streams, feeding on plankton and insects. It is threatened by habitat alteration."
Pungu maclareni,,"A cichlid endemic to Lake Barombi Mbo, Cameroon. It inhabits deep waters and feeds on benthic invertebrates. It is critically endangered due to its restricted habitat."
Haplochromis antleter,,"From Lake Victoria, this species inhabits rocky littoral zones. It feeds on insect larvae and detritus. Populations have declined drastically."
Haplochromis coprologus,,"Endemic to Lake Victoria, living in sandy and rocky habitats. It is omnivorous, consuming insects, algae, and detritus. It is now considered rare."
Haplochromis katunzii,,A Lake Victoria cichlid named after researcher Katunzi. It inhabits shallow waters and feeds on aquatic invertebrates. It is vulnerable due to invasive species.
Haplochromis pancitrinus,,"Found in Lake Victoria, dwelling in rocky and sandy habitats. It feeds on insects and benthic fauna. It has suffered sharp population declines."
Haplochromis sphex,,A piscivorous cichlid from Lake Victoria. It preys on smaller haplochromines. It is one of the species most affected by Nile perch predation.
Chlamydogobius gloveri,Dalhousie goby,"A desert goby from Australia, living in arid-zone rivers. It tolerates extreme salinity and temperature fluctuations. It is important as a hardy species in desert ecosystems."
Hephaestus adamsoni,Adamson's grunter,"A freshwater grunter from New Guinea, living in rivers and floodplains. It feeds on detritus and invertebrates. Locally important to fisheries."
Hephaestus raymondi,Raymond's grunter,"Another grunter from New Guinea, inhabiting rivers with sandy bottoms. It is omnivorous, feeding on detritus, algae, and invertebrates."
Hypseleotris ejuncida,Slender carp gudgeon,"A carp gudgeon from Australia, inhabiting freshwater streams. It feeds on insect larvae and plankton. It is considered rare."
Kimberleyeleotris notata,Drysdale gudgeon,"A small gudgeon endemic to the Kimberley region of Australia. It inhabits rocky pools and streams, feeding on insects and algae. It is highly localized."
Mogurnda furva,Black mogurnda,"A gudgeon from northern Australia. It inhabits freshwater pools and streams, feeding on insect larvae. Its populations are stable but limited."
Mogurnda spilota,Blotched mogurnda,"Found in Australia, inhabiting streams and pools with vegetation. It preys on aquatic insects. Locally common in its range."
Mogurnda variegata,Variegated mogurnda,"A gudgeon species from Australia, found in freshwater streams. It feeds on insects and detritus. It is poorly studied."
Mogurnda vitta,Striped mogurnda,"Another Australian gudgeon inhabiting small streams. It is carnivorous, feeding on aquatic insects. Its distribution is restricted."
Mugilogobius amadi,,"A goby from Indonesia, inhabiting brackish and freshwater systems. It feeds on small crustaceans and insects. It has a limited distribution."
Silurus mento,Kunming catfish,"A catfish from European rivers, inhabiting large freshwater systems. It is benthic and predatory, feeding on fish and invertebrates. Rarely studied in detail."
Elassoma alabamae,Spring pygmy sunfish,"Known as the spring pygmy sunfish, endemic to Alabama, USA. It inhabits vegetated springs and feeds on zooplankton and insect larvae. It is critically endangered."
Gymnocharacinus bergii,Naked characin,"A characin endemic to Argentina, inhabiting cold streams. It is insectivorous and critically endangered. Its limited range makes it highly vulnerable."
Oryzias soerotoi,,"A ricefish endemic to Sulawesi, Indonesia. It inhabits lakes and streams and feeds on plankton and insect larvae. It is restricted and threatened."
Adrianichthys roseni,,"A critically endangered ricefish from Lake Poso, Sulawesi. It lives in deep waters, feeding on plankton. Its population has been declining due to habitat changes."
Crystallaria cincotta,Diamond darter,"A darter from the Ohio River basin, USA. It inhabits gravelly riffles and feeds on insect larvae. It is rare and considered vulnerable."
Etheostoma lugoi,Tufa darter,"A darter endemic to Mexico, inhabiting clear rocky streams. It feeds on aquatic insects. It is threatened by habitat alteration."
Acheilognathus elongatus,,"A bitterling from East Asia, inhabiting rivers and lakes. It has a unique breeding strategy, laying eggs in mussels. Populations are declining due to habitat loss."
Alosa killarnensis,Killarney shad,"A shad from Ireland, restricted to Lough Leane. It is planktivorous, feeding on zooplankton. It is critically endangered."
Anatolichthys transgrediens,Acipinar killifish,"A killifish from Turkey, inhabiting saline lakes. It feeds on small invertebrates. It is critically endangered due to water extraction."
Aphaniops sirhani,,"A pupfish endemic to Jordan, inhabiting desert springs. It feeds on algae and small invertebrates. It is critically endangered."
Apricaphanius saourensis,Sahara aphanius,"Endemic to Algeria, this killifish lives in desert oases. It feeds on insect larvae and algae. Its populations are threatened by water diversion."
Barbodes lindog,,"A cyprinid fish from the Philippines, inhabiting rivers and lakes. It feeds on detritus, algae, and small invertebrates. It is important in local fisheries but threatened by habitat loss."
Barbodes sirang,,"A cyprinid endemic to the Philippines, inhabiting freshwater streams and rivers. It is recognized for its slender body and schooling behavior, but its populations are vulnerable due to habitat degradation and overfishing."
Chasmistes liorus,June sucker,"The June sucker, endemic to Utah Lake, USA. It is a large-bodied sucker that feeds on zooplankton and benthic invertebrates, listed as endangered due to habitat loss and invasive species."
Chilatherina sentaniensis,Sentani rainbowfish,"A rainbowfish endemic to Lake Sentani, Papua. Males exhibit bright colors, especially during courtship, but the species is threatened by habitat alteration and introduced fishes."
Chiloglanis bifurcus,Incomati suckermouth,A small suckermouth catfish native to Central African rivers. It clings to rocks in fast-flowing waters and grazes on algae; little is known about its conservation status.
Clupeonella abrau,Abrau sprat,"A freshwater herring restricted to Lake Abrau, Russia. It forms schools and feeds on plankton; due to its limited range, it is highly vulnerable to environmental changes."
Coregonus reighardi,Shortnose cisco,"The shortnose cisco, once endemic to the Great Lakes, USA. It was a deepwater planktivore but is now considered extinct due to overfishing and competition with invasive species."
Craterocephalus dalhousiensis,Dalhousie hardyhead,"The Dalhousie hardyhead, restricted to Dalhousie Springs, Australia. It inhabits warm artesian springs and is threatened by habitat modification and invasive species."
Craterocephalus fluviatilis,Murray hardyhead,"The Murray hardyhead, native to the Murray–Darling Basin, Australia. It is a small schooling fish inhabiting vegetated wetlands and floodplains, vulnerable due to water extraction."
Craterocephalus kailolae,Kailola's hardyhead,"Endemic to Papua New Guinea, this hardyhead lives in freshwater streams. It is distinguished by its schooling behavior and reliance on clear waters."
Cyprinella bocagrande,Largemouth shiner,"A shiner species native to Mexico. It inhabits streams with clear flow, feeding mainly on insects and algae."
Cyprinodon latifasciatus,Parras pupfish,"A pupfish endemic to Mexico’s Cuatro Ciénegas basin. It thrives in desert springs and pools, adapted to extreme conditions, but is endangered by groundwater depletion."
Cyprinus micristius,,A carp species from China’s Lake Fuxian. It is part of a unique endemic fauna now threatened by overfishing and pollution.
Enteromius treurensis,Treur barb,"The Treur River barb, native to South Africa. It lives in cool, clear headwaters and is critically endangered due to habitat loss and invasive predators."
Galaxias rostratus,Flathead galaxias,"The flat-headed galaxias, native to southeastern Australia. It inhabits rivers and streams, preying on small invertebrates, and is threatened by trout introduction."
Galaxias tanycephalus,Saddled galaxias,"The saddled galaxias, endemic to Tasmania. It is a small-bodied stream fish now endangered due to predation by introduced salmonids."
Gila elegans,Bonytail,"The bonytail chub, native to the Colorado River Basin. It is adapted to large rivers, with a streamlined body and powerful swimming ability, but is critically endangered."
Glossolepis wanamensis,Lake Wanam rainbowfish,"A rainbowfish endemic to Lake Wanam, Papua New Guinea. Known for its striking coloration, it is critically endangered due to introduced tilapia."
Iberocypris palaciosi,,"A small cyprinid endemic to Iberian Peninsula rivers. It favors clear, fast-flowing waters and is endangered by habitat alteration and invasive fish."
Labeo victorianus,Ningu,"The Victoria labeo, native to Lake Victoria and its tributaries. It is an algae-grazing species heavily impacted by overfishing and Nile perch introduction."
Melanotaenia ajamaruensis,Ajamaru lakes rainbowfish,"A rainbowfish from the Ajamaru Lakes, West Papua. Males are brightly colored, but populations are under threat due to habitat changes."
Melanotaenia corona,Corona rainbowfish,"Endemic to West Papua, this rainbowfish has vivid coloration and inhabits clear streams. It is considered vulnerable."
Melanotaenia oktediensis,Oktedi rainbowfish,A rainbowfish from Papua New Guinea’s Ok Tedi River system. Mining and habitat degradation threaten its survival.
Melanotaenia parva,Lake Kuromai rainbowfish,"A small rainbowfish from Papua New Guinea, living in clear creeks. It is locally common but sensitive to water quality changes."
Neochanna burrowsius,Canterbury mudfish,"The Canterbury mudfish, endemic to New Zealand wetlands. It can aestivate in moist soil during drought, but habitat drainage has endangered it."
Parabotia curtus,Kissing loach,A loach from East Asian rivers. It inhabits fast-flowing streams and feeds on small invertebrates.
Parambassis altipinnis,High-finned glass perchlet,"A glassfish species native to Southeast Asia. Transparent-bodied, it lives in rivers and floodplains."
Poblana ferdebueni,Chignahuapan silverside,"A silverside endemic to Puebla, Mexico. It inhabits crater lakes and is critically endangered due to pollution and water extraction."
Poblana letholepis,La Preciosa silverside,"Another Puebla silverside species, restricted to Lake La Preciosa. Its restricted range makes it highly vulnerable."
Poropuntius tawarensis,,"A cyprinid endemic to Lake Tawar, Sumatra. It supports local fisheries but faces pressures from overharvest."
